sex,row_number,liters_drunk,age,drink,check_number,label
1,24.0,0,57,Strong beer,6615,1
0,41.0,5,17,Fanta,4945,1
0,91.0,1,68,Fanta,9076,0
0,12.0,0,30,Beerbeer,3502,0
1,82.0,4,76,Beerbeer,5950,1
1,8.0,2,18,Cola,9518,1
0,94.0,5,55,Bugbeer,5689,1
0,59.0,1,76,Cola,2048,0
0,23.0,4,24,Strong beer,8392,1
1,70.0,2,18,Water,4303,0
1,2.0,1,49,Beerbeer,2561,0
1,100.0,2,31,Bugbeer,3639,0
1,85.0,1,19,Water,5586,0
0,43.0,2,77,Bugbeer,7009,1
0,81.0,5,62,Water,8532,0
0,86.0,3,17,Water,9526,0
1,50.0,4,68,Water,8961,1
0,64.0,0,55,Water,3133,1
0,20.0,0,68,Strong beer,3653,1
0,4.0,4,63,Cola,4122,1
1,89.0,4,51,Strong beer,4605,1
1,35.0,3,45,Cola,341,1
1,7.0,2,69,Strong beer,9467,0
1,86.0,4,34,Strong beer,223,1
1,14.0,5,45,Bugbeer,3641,1
1,64.0,3,62,Cola,8099,0
1,42.0,1,64,Fanta,1160,0
1,57.0,3,23,Strong beer,7139,1
1,75.0,0,18,Cola,7807,1
0,95.0,4,24,Bugbeer,3321,1
0,54.0,2,11,Fanta,31,1
0,64.0,0,22,Strong beer,8879,1
1,36.0,0,22,Bugbeer,1165,0
1,64.0,1,23,Fanta,1699,0
0,72.0,3,64,Water,1988,0
0,42.0,0,47,Bugbeer,4879,1
0,55.0,4,62,Cola,4386,0
1,95.0,0,14,Water,4529,1
1,94.0,4,52,Strong beer,9452,0
1,31.0,0,62,Cola,7612,0
0,99.0,0,22,Cola,562,1
1,66.0,2,69,Fanta,9291,1
1,22.0,0,79,Bugbeer,4102,1
0,84.0,0,72,Strong beer,9249,1
1,93.0,0,25,Strong beer,8858,0
0,97.0,5,38,Fanta,8872,0
1,62.0,5,58,Bugbeer,15,1
1,74.0,3,78,Water,5352,0
0,87.0,1,49,Bugbeer,9201,1
1,77.0,4,16,Fanta,3619,1
0,79.0,0,62,Bugbeer,2814,0
0,34.0,3,30,Water,4853,0
1,81.0,0,45,Beerbeer,4028,1
1,16.0,5,43,Bugbeer,7221,1
0,35.0,3,38,Bugbeer,1379,1
1,4.0,4,70,Water,7259,1
1,7.0,5,47,Bugbeer,4854,1
1,6.0,1,27,Water,6746,1
0,4.0,3,51,Water,5834,0
1,2.0,1,25,Cola,6826,1
0,42.0,4,48,Beerbeer,3698,1
1,62.0,0,11,Water,4676,1
1,27.0,0,48,Fanta,4673,1
1,93.0,1,44,Bugbeer,8377,1
1,69.0,5,61,Strong beer,4076,1
1,38.0,3,26,Bugbeer,4980,0
0,96.0,2,74,Water,426,0
0,50.0,3,73,Beerbeer,4204,0
1,67.0,0,61,Bugbeer,7754,1
1,78.0,2,79,Strong beer,8091,0
1,74.0,5,51,Strong beer,4588,0
1,20.0,0,66,Strong beer,1919,1
0,42.0,0,18,Fanta,6891,0
1,17.0,5,34,Cola,4448,0
1,24.0,4,53,Bugbeer,2022,0
1,52.0,5,24,Water,1925,1
0,70.0,0,72,Strong beer,4626,1
1,65.0,1,42,Cola,2145,0
1,52.0,2,15,Water,4201,1
0,96.0,2,41,Strong beer,7376,0
1,29.0,0,64,Strong beer,316,1
0,42.0,2,45,Beerbeer,5432,0
1,76.0,1,24,Fanta,960,0
0,94.0,2,61,Fanta,3715,0
0,80.0,1,42,Bugbeer,2203,1
1,61.0,2,48,Water,5479,0
0,53.0,2,29,Fanta,4113,1
0,55.0,5,36,Water,1126,0
0,52.0,0,58,Beerbeer,8167,0
1,31.0,4,37,Cola,9486,1
1,69.0,2,66,Beerbeer,5954,1
1,48.0,4,10,Fanta,3534,0
0,10.0,4,75,Beerbeer,3274,1
1,76.0,5,14,Fanta,6094,1
0,38.0,2,31,Bugbeer,6488,1
1,60.0,4,57,Fanta,3246,1
1,73.0,5,16,Water,2410,1
1,37.0,5,51,Bugbeer,1069,1
0,1.0,5,56,Cola,8251,1
1,29.0,5,37,Strong beer,9898,1
0,84.0,0,63,Fanta,8195,0
1,12.0,5,26,Water,9141,0
0,35.0,2,58,Beerbeer,5641,1
1,66.0,3,73,Water,6879,0
1,20.0,1,69,Bugbeer,9838,0
1,83.0,1,46,Strong beer,8715,1
1,77.0,2,12,Fanta,9693,1
1,40.0,2,17,Water,7171,0
1,80.0,4,38,Cola,4461,1
1,93.0,2,52,Strong beer,987,0
1,45.0,0,76,Cola,3007,0
0,16.0,2,80,Cola,145,1
0,44.0,1,34,Strong beer,3550,0
0,30.0,1,18,Water,4365,1
0,38.0,0,39,Beerbeer,9269,1
1,51.0,0,18,Fanta,5374,0
0,100.0,2,33,Beerbeer,5011,1
0,86.0,2,33,Bugbeer,7367,1
1,89.0,3,22,Strong beer,2920,1
1,55.0,4,26,Fanta,297,1
0,77.0,1,16,Water,1407,0
1,36.0,2,73,Beerbeer,2187,1
0,54.0,4,71,Beerbeer,2180,1
0,98.0,2,71,Beerbeer,1720,1
0,28.0,0,16,Fanta,3886,0
1,87.0,2,41,Beerbeer,5297,1
1,20.0,3,25,Cola,7435,1
1,76.0,1,27,Beerbeer,2388,1
0,10.0,3,11,Cola,1464,0
0,8.0,1,50,Bugbeer,3204,1
1,71.0,5,39,Bugbeer,4098,1
1,86.0,3,12,Fanta,4393,1
1,67.0,2,39,Bugbeer,2368,0
0,100.0,2,59,Beerbeer,1586,0
0,85.0,3,35,Bugbeer,4982,1
0,13.0,4,27,Water,3170,1
1,21.0,0,73,Fanta,2325,1
1,71.0,2,63,Water,9619,1
1,89.0,4,75,Cola,6167,0
0,59.0,3,18,Fanta,2481,0
1,67.0,0,79,Bugbeer,895,0
0,83.0,2,38,Water,4743,0
1,86.0,1,78,Strong beer,5003,0
0,92.0,3,22,Beerbeer,6686,1
1,18.0,1,34,Cola,8125,0
1,45.0,3,16,Cola,2414,0
1,100.0,5,53,Water,6820,1
0,28.0,0,17,Water,125,1
0,65.0,4,28,Water,3076,1
1,81.0,3,71,Strong beer,1991,1
1,11.0,0,16,Cola,6165,1
0,72.0,2,21,Beerbeer,6479,1
0,40.0,3,63,Fanta,4740,1
1,58.0,2,52,Cola,874,0
0,100.0,5,48,Beerbeer,1402,1
0,47.0,2,32,Strong beer,8381,0
0,8.0,2,21,Fanta,2033,1
0,71.0,3,17,Fanta,5323,1
0,28.0,3,79,Strong beer,67,1
1,62.0,3,19,Cola,256,1
1,98.0,4,45,Fanta,6312,0
1,48.0,4,11,Water,783,1
1,98.0,3,35,Cola,5143,1
0,16.0,3,51,Strong beer,8305,1
0,47.0,0,66,Water,7675,1
0,76.0,2,10,Water,6595,1
0,29.0,4,50,Cola,3435,1
1,100.0,2,52,Beerbeer,463,0
0,18.0,0,63,Strong beer,8613,0
1,11.0,4,45,Strong beer,3705,1
1,100.0,2,65,Fanta,4483,1
1,2.0,5,80,Water,7324,0
0,100.0,1,65,Bugbeer,3433,0
0,54.0,2,22,Strong beer,5489,0
0,21.0,1,34,Beerbeer,3806,1
1,100.0,4,56,Fanta,9055,0
0,70.0,2,69,Beerbeer,9182,0
0,58.0,5,15,Fanta,3296,1
1,36.0,4,75,Strong beer,6627,0
1,77.0,4,17,Cola,568,1
0,80.0,5,15,Cola,1391,1
1,7.0,2,69,Cola,4491,1
0,47.0,5,25,Strong beer,7683,1
1,56.0,4,38,Fanta,5830,1
1,25.0,1,62,Water,6111,1
1,1.0,4,18,Water,1571,0
0,100.0,4,24,Strong beer,8567,1
1,9.0,4,56,Bugbeer,1536,1
0,75.0,4,48,Cola,1245,1
1,50.0,2,62,Cola,6775,1
0,18.0,0,13,Water,4404,0
0,85.0,4,15,Fanta,8165,0
1,2.0,2,33,Water,5990,0
1,0.0,3,44,Fanta,1436,1
1,57.0,2,40,Fanta,8726,1
1,72.0,4,42,Water,7968,0
0,24.0,2,64,Water,8561,0
1,100.0,1,57,Water,2965,0
1,21.0,3,15,Water,7613,1
1,100.0,1,79,Water,7729,0
1,30.0,2,77,Bugbeer,1893,0
1,85.0,4,70,Water,4619,0
0,1.0,5,68,Bugbeer,6676,0
0,67.0,4,51,Beerbeer,2184,1
1,73.0,4,51,Beerbeer,103,1
1,40.0,5,53,Water,4922,0
1,11.0,3,30,Strong beer,2511,0
0,61.0,3,75,Cola,3308,1
0,88.0,4,29,Strong beer,5206,1
0,28.0,1,38,Beerbeer,9620,0
0,43.0,1,20,Cola,8583,1
0,37.0,5,35,Fanta,4736,1
1,40.0,2,37,Water,1731,0
0,100.0,5,54,Strong beer,3897,1
1,100.0,0,27,Fanta,4152,0
0,78.0,3,31,Fanta,3080,0
1,49.0,2,76,Water,6881,1
0,72.0,0,77,Water,7255,0
0,24.0,0,50,Bugbeer,1763,0
0,25.0,5,77,Beerbeer,219,0
1,21.0,0,25,Fanta,4732,1
0,45.0,0,78,Beerbeer,9729,1
1,44.0,1,56,Fanta,8398,0
1,21.0,2,32,Strong beer,8859,1
1,3.0,0,66,Beerbeer,8424,0
0,96.0,0,18,Fanta,8556,1
0,83.0,3,35,Water,2445,0
0,15.0,3,73,Water,1474,1
0,33.0,1,35,Cola,8170,0
0,38.0,2,26,Strong beer,7095,0
0,56.0,4,78,Fanta,4836,0
1,37.0,5,63,Bugbeer,797,0
1,50.0,0,73,Cola,496,1
0,1.0,1,36,Fanta,7671,1
0,50.0,3,61,Fanta,749,1
1,1.0,0,31,Fanta,241,0
0,20.0,4,59,Cola,6625,1
1,17.0,2,27,Cola,1664,1
0,9.0,0,52,Beerbeer,9545,0
1,92.0,4,67,Water,2599,0
0,0.0,2,17,Water,2459,0
1,54.0,2,68,Water,9214,1
0,68.0,5,27,Water,7012,1
1,52.0,4,44,Water,5782,1
1,16.0,4,80,Bugbeer,311,0
0,99.0,0,77,Water,7032,0
0,31.0,2,73,Beerbeer,9697,1
1,14.0,4,22,Water,6777,1
1,28.0,5,38,Strong beer,531,1
0,42.0,1,31,Bugbeer,4278,0
1,11.0,2,63,Strong beer,906,1
0,25.0,2,43,Bugbeer,1265,0
1,45.0,2,71,Strong beer,9098,1
1,62.0,5,47,Bugbeer,8471,1
0,19.0,5,62,Strong beer,8758,0
0,4.0,2,79,Cola,9240,0
1,15.0,2,21,Bugbeer,1673,1
1,20.0,2,80,Fanta,2631,1
1,12.0,5,66,Fanta,6358,0
1,69.0,4,15,Fanta,5677,1
1,69.0,0,59,Strong beer,104,1
0,53.0,3,20,Fanta,1009,1
0,74.0,2,77,Strong beer,951,1
1,86.0,1,30,Water,3513,1
1,63.0,4,80,Bugbeer,5708,0
0,26.0,3,72,Beerbeer,1144,1
0,100.0,5,46,Bugbeer,8796,1
0,15.0,0,59,Strong beer,1336,1
0,16.0,2,63,Strong beer,7328,1
0,61.0,4,42,Fanta,5749,0
1,21.0,3,77,Beerbeer,6092,1
1,32.0,0,75,Cola,1759,0
1,25.0,4,61,Water,8608,0
1,15.0,2,66,Fanta,6370,1
1,29.0,4,14,Cola,196,0
0,100.0,5,45,Cola,2972,1
1,62.0,2,55,Cola,3089,0
1,45.0,3,21,Water,6983,1
1,61.0,5,80,Fanta,8694,0
0,88.0,5,28,Beerbeer,110,1
1,56.0,2,51,Water,8652,0
1,18.0,2,49,Cola,781,0
0,60.0,2,62,Bugbeer,7887,0
1,43.0,2,37,Fanta,9685,1
0,21.0,1,11,Cola,9418,0
1,46.0,5,43,Beerbeer,2790,1
1,40.0,3,14,Fanta,4197,1
0,32.0,4,29,Beerbeer,3305,1
1,24.0,5,24,Strong beer,2233,1
0,79.0,5,54,Water,2581,0
1,93.0,5,15,Fanta,8656,1
1,78.0,2,15,Fanta,1936,1
0,34.0,0,14,Water,9987,1
1,15.0,4,77,Fanta,4954,0
0,63.0,1,11,Cola,189,1
1,60.0,4,24,Strong beer,6648,1
1,76.0,5,58,Water,8142,1
1,51.0,5,16,Water,315,1
1,47.0,0,54,Bugbeer,1206,1
1,77.0,2,56,Cola,3225,0
1,14.0,5,74,Water,831,0
0,86.0,5,28,Cola,7540,0
1,32.0,5,34,Strong beer,6610,1
1,41.0,1,55,Cola,7565,0
1,63.0,3,68,Bugbeer,752,0
1,93.0,2,66,Cola,8146,1
0,100.0,4,60,Bugbeer,9325,1
0,68.0,0,41,Bugbeer,3942,0
1,9.0,4,15,Water,3493,1
1,98.0,3,79,Strong beer,7321,0
1,84.0,5,15,Water,8360,1
1,21.0,3,53,Fanta,1238,1
0,40.0,4,72,Strong beer,7871,1
1,100.0,2,48,Fanta,999,1
0,87.0,1,39,Cola,8946,1
0,46.0,1,21,Cola,8449,1
0,0.0,3,48,Beerbeer,90,1
0,14.0,1,13,Cola,1225,1
1,46.0,1,62,Bugbeer,377,0
0,30.0,1,66,Water,8412,1
0,68.0,0,26,Water,8498,0
1,28.0,5,39,Bugbeer,8217,1
0,48.0,1,27,Bugbeer,7396,1
1,58.0,4,50,Beerbeer,368,1
1,54.0,1,58,Cola,3569,0
0,5.0,2,71,Beerbeer,7293,1
1,38.0,4,58,Fanta,5053,1
0,52.0,0,26,Strong beer,1229,0
1,100.0,0,36,Cola,4481,1
1,51.0,4,53,Beerbeer,2266,1
1,62.0,2,70,Strong beer,2146,1
1,46.0,1,14,Water,1343,1
1,42.0,0,30,Strong beer,4804,0
0,58.0,5,80,Beerbeer,6902,0
1,100.0,0,49,Bugbeer,3340,1
1,15.0,4,23,Cola,9819,1
0,25.0,1,27,Beerbeer,6599,1
0,100.0,4,35,Fanta,5057,0
0,100.0,4,27,Strong beer,6888,1
0,100.0,5,77,Fanta,4950,0
0,86.0,1,15,Water,4894,0
1,71.0,2,49,Strong beer,4253,1
0,29.0,5,73,Fanta,1628,1
1,45.0,4,71,Strong beer,9464,0
0,28.0,1,47,Fanta,3078,0
0,87.0,4,16,Fanta,7175,1
1,97.0,2,51,Beerbeer,2215,0
1,49.0,5,49,Bugbeer,417,1
0,47.0,2,41,Cola,945,0
0,81.0,2,27,Strong beer,5207,1
0,20.0,1,54,Cola,1736,1
0,78.0,0,44,Strong beer,9304,1
0,19.0,1,38,Cola,5321,1
0,9.0,2,12,Fanta,9509,0
0,23.0,0,66,Water,7237,1
0,39.0,3,68,Cola,4561,0
0,10.0,4,64,Strong beer,1107,1
0,62.0,4,57,Strong beer,2397,1
0,35.0,2,41,Beerbeer,6667,0
0,41.0,1,38,Fanta,549,0
0,41.0,5,19,Fanta,9271,1
0,35.0,0,59,Strong beer,4782,1
1,41.0,2,15,Cola,2105,0
0,8.0,5,53,Strong beer,3526,0
0,39.0,2,66,Fanta,6188,0
0,100.0,1,69,Bugbeer,5899,0
0,100.0,0,51,Fanta,9583,0
1,35.0,0,80,Cola,8722,1
0,19.0,5,12,Water,4773,1
1,46.0,3,53,Water,8216,1
0,0.0,4,29,Water,5915,1
1,41.0,2,78,Cola,8802,1
0,25.0,2,56,Bugbeer,215,1
0,100.0,3,19,Fanta,1788,0
1,92.0,5,41,Bugbeer,1119,1
0,14.0,2,20,Water,2766,0
1,96.0,2,61,Fanta,2507,0
0,25.0,1,45,Cola,3997,1
0,17.0,4,42,Beerbeer,735,1
1,61.0,1,16,Cola,3483,1
0,73.0,2,59,Water,7042,0
1,9.0,0,43,Water,8245,1
0,79.0,0,28,Bugbeer,2971,0
0,76.0,4,77,Fanta,1106,1
1,84.0,5,59,Water,292,1
0,42.0,3,10,Cola,6808,1
0,95.0,2,17,Water,6700,1
0,45.0,0,12,Water,8314,0
0,75.0,2,13,Cola,4230,0
1,5.0,0,35,Water,2841,0
0,43.0,4,31,Water,3586,0
1,79.0,3,34,Beerbeer,101,1
0,57.0,2,36,Fanta,7189,0
0,1.0,1,17,Cola,2579,1
0,45.0,2,18,Fanta,7273,0
0,65.0,4,34,Water,1358,1
1,68.0,0,16,Water,1949,1
0,61.0,0,35,Cola,3094,0
0,39.0,1,77,Beerbeer,558,0
1,98.0,1,36,Strong beer,1212,0
0,4.0,5,65,Cola,2856,0
0,6.0,0,55,Strong beer,7642,1
0,33.0,3,61,Bugbeer,526,1
0,87.0,1,29,Cola,1440,1
0,100.0,2,42,Strong beer,9690,1
0,33.0,2,47,Beerbeer,3563,0
1,50.0,1,35,Cola,4258,1
0,95.0,3,49,Water,4335,1
1,53.0,0,75,Fanta,1354,0
1,64.0,4,68,Bugbeer,8153,0
0,35.0,3,75,Strong beer,1475,1
0,56.0,4,34,Bugbeer,9438,1
0,49.0,0,32,Bugbeer,8228,1
1,31.0,1,30,Cola,2903,1
1,100.0,5,75,Fanta,2475,1
0,4.0,5,59,Bugbeer,7582,0
1,58.0,2,54,Bugbeer,5503,1
0,68.0,2,51,Water,5316,1
0,6.0,2,33,Cola,6752,0
0,6.0,0,20,Fanta,7710,1
1,100.0,0,29,Bugbeer,4979,1
1,47.0,3,74,Water,280,1
0,32.0,2,25,Cola,2169,1
1,47.0,1,18,Fanta,9348,1
0,5.0,0,42,Fanta,9560,0
0,56.0,2,14,Fanta,1748,1
0,40.0,0,73,Strong beer,1171,1
0,47.0,3,22,Strong beer,784,1
0,12.0,3,45,Bugbeer,3038,0
1,63.0,4,36,Cola,9883,1
0,36.0,2,19,Cola,4548,1
1,34.0,2,29,Strong beer,8076,1
1,9.0,2,73,Water,5916,1
0,12.0,0,70,Bugbeer,6542,1
1,31.0,4,11,Water,5575,1
1,79.0,4,14,Cola,6945,1
0,80.0,2,46,Bugbeer,2679,0
0,9.0,1,25,Strong beer,5208,0
0,0.0,1,19,Water,5512,1
1,44.0,5,39,Strong beer,7256,1
1,40.0,4,50,Cola,662,0
0,21.0,2,21,Water,1645,0
0,98.0,4,52,Cola,8849,1
0,100.0,3,71,Fanta,8259,1
1,41.0,5,36,Strong beer,3920,1
0,56.0,2,53,Beerbeer,7575,1
1,11.0,2,30,Strong beer,9194,1
0,65.0,2,72,Water,8687,1
0,39.0,5,66,Bugbeer,2309,1
0,53.0,2,73,Cola,3950,0
1,7.0,2,36,Cola,7154,1
1,64.0,2,52,Cola,2702,1
1,13.0,5,79,Strong beer,5173,0
1,83.0,2,10,Water,5943,0
1,100.0,2,37,Beerbeer,7902,1
0,62.0,1,55,Bugbeer,3509,1
1,100.0,2,25,Strong beer,6490,1
1,100.0,3,22,Bugbeer,3403,0
0,77.0,5,49,Cola,9405,0
0,100.0,2,10,Fanta,5174,0
0,61.0,4,49,Beerbeer,8024,1
1,30.0,5,61,Bugbeer,7651,1
0,19.0,2,46,Strong beer,9670,1
1,76.0,0,42,Strong beer,8593,0
1,45.0,1,21,Fanta,899,1
0,43.0,1,38,Beerbeer,4958,1
0,72.0,1,13,Fanta,3232,1
0,55.0,1,49,Cola,7109,0
0,11.0,4,14,Fanta,4008,1
1,63.0,3,24,Cola,6286,0
0,66.0,2,37,Strong beer,2372,0
0,31.0,5,65,Beerbeer,4194,0
1,23.0,2,56,Water,9871,0
1,89.0,3,14,Cola,620,1
1,22.0,5,57,Fanta,6653,1
0,93.0,4,57,Fanta,7044,1
0,93.0,3,57,Fanta,8897,0
1,21.0,0,62,Strong beer,1835,1
1,78.0,3,38,Cola,2723,1
0,25.0,1,48,Strong beer,7903,0
0,25.0,4,23,Cola,4617,0
0,51.0,1,63,Cola,3688,1
1,69.0,4,57,Beerbeer,1140,1
0,33.0,3,59,Cola,9968,0
0,43.0,3,24,Strong beer,865,1
1,12.0,4,51,Fanta,8841,0
1,76.0,5,60,Water,2862,0
0,100.0,4,24,Strong beer,4582,1
0,57.0,1,34,Fanta,4646,0
1,47.0,3,42,Water,3733,0
0,61.0,5,16,Water,525,1
0,80.0,0,70,Cola,2922,0
0,43.0,2,57,Bugbeer,6748,1
0,69.0,2,72,Bugbeer,3123,0
0,99.0,5,43,Water,8215,1
1,78.0,0,29,Cola,1570,0
1,95.0,2,26,Cola,8782,0
0,94.0,0,27,Strong beer,6995,1
1,45.0,5,24,Water,5301,0
1,90.0,3,64,Beerbeer,7310,0
0,93.0,2,19,Cola,6757,1
1,79.0,4,56,Beerbeer,8538,1
0,83.0,3,10,Cola,5039,1
1,86.0,3,48,Beerbeer,4321,1
1,0.0,3,32,Bugbeer,9655,0
0,8.0,3,45,Bugbeer,2042,1
1,100.0,2,61,Water,3326,1
0,89.0,5,52,Cola,4084,1
1,73.0,5,19,Fanta,2148,1
1,53.0,3,14,Fanta,2451,1
0,62.0,0,33,Water,175,1
1,55.0,5,80,Beerbeer,8977,0
0,44.0,1,53,Strong beer,6668,0
0,53.0,4,13,Fanta,9338,1
1,15.0,2,47,Bugbeer,3205,0
0,47.0,3,45,Beerbeer,7289,1
1,74.0,4,56,Water,7939,1
0,89.0,2,68,Bugbeer,9511,0
1,0.0,2,50,Beerbeer,9930,1
0,3.0,4,33,Beerbeer,6380,1
1,52.0,3,30,Beerbeer,8366,1
1,78.0,3,62,Bugbeer,8951,1
1,82.0,3,57,Bugbeer,5558,1
0,27.0,1,50,Beerbeer,2715,1
1,13.0,4,15,Cola,9951,0
1,10.0,0,26,Fanta,1981,1
0,13.0,2,61,Fanta,6284,1
1,100.0,2,48,Bugbeer,2531,0
1,73.0,4,48,Strong beer,1250,1
0,72.0,5,56,Beerbeer,4598,0
1,48.0,4,10,Fanta,4591,1
0,100.0,0,27,Beerbeer,8733,1
1,49.0,5,57,Strong beer,5393,0
0,52.0,3,48,Water,2454,0
1,74.0,4,64,Cola,130,1
0,26.0,3,73,Beerbeer,8568,0
0,21.0,4,69,Bugbeer,9669,0
1,31.0,0,54,Beerbeer,40,0
0,5.0,2,43,Strong beer,8832,0
0,47.0,3,33,Fanta,2067,0
1,69.0,5,76,Strong beer,4574,1
1,100.0,0,76,Water,8926,0
1,33.0,3,26,Fanta,9018,1
1,50.0,3,59,Fanta,6123,0
1,74.0,0,32,Beerbeer,7394,0
1,20.0,5,63,Cola,9558,0
0,15.0,5,59,Beerbeer,7972,0
1,100.0,5,14,Water,6613,1
0,24.0,2,34,Water,5978,1
1,36.0,2,45,Bugbeer,4951,0
0,34.0,0,11,Cola,8107,0
0,11.0,0,41,Strong beer,3379,0
1,40.0,3,51,Water,2126,1
1,48.0,3,40,Water,3127,1
0,50.0,1,24,Water,7222,1
0,9.0,0,50,Strong beer,2707,0
0,56.0,2,70,Cola,6371,0
0,22.0,0,40,Beerbeer,9273,0
1,5.0,1,45,Cola,57,1
1,59.0,3,11,Fanta,2311,1
1,96.0,3,61,Cola,977,0
0,82.0,5,71,Bugbeer,6769,0
1,90.0,2,68,Water,4976,0
1,94.0,1,77,Cola,5254,0
1,83.0,2,43,Cola,8723,0
