sex,row_number,liters_drunk,age,drink,check_number,label,age_child,age_adult,age_old,session_start,start_morning,start_afternoon,start_evening
1,48.0,4,10,0,3534,0,1,0,0,6,1,0,0
0,10.0,4,75,1,3274,1,0,0,1,21,0,0,1
1,76.0,5,14,0,6094,1,1,0,0,22,0,0,1
0,38.0,2,31,1,6488,1,0,1,0,14,0,1,0
1,60.0,4,57,0,3246,1,0,0,1,21,0,0,1
1,73.0,5,16,0,2410,1,1,0,0,7,1,0,0
1,37.0,5,51,1,1069,1,0,0,1,6,1,0,0
0,1.0,5,56,0,8251,1,0,0,1,14,0,1,0
1,29.0,5,37,1,9898,1,0,1,0,23,0,0,1
0,84.0,0,63,0,8195,0,0,0,1,6,1,0,0
1,12.0,5,26,0,9141,0,0,1,0,15,0,1,0
0,35.0,2,58,1,5641,1,0,0,1,22,0,0,1
1,66.0,3,73,0,6879,0,0,0,1,15,0,1,0
1,20.0,1,69,1,9838,0,0,0,1,23,0,0,1
1,83.0,1,46,1,8715,1,0,1,0,21,0,0,1
1,77.0,2,12,0,9693,1,1,0,0,14,0,1,0
1,40.0,2,17,0,7171,0,1,0,0,14,0,1,0
1,80.0,4,38,0,4461,1,0,1,0,14,0,1,0
1,93.0,2,52,1,987,0,0,0,1,6,1,0,0
1,45.0,0,76,0,3007,0,0,0,1,21,0,0,1
0,16.0,2,80,0,145,1,0,0,1,6,1,0,0
0,44.0,1,34,1,3550,0,0,1,0,14,0,1,0
0,30.0,1,18,0,4365,1,0,1,0,22,0,0,1
0,38.0,0,39,1,9269,1,0,1,0,6,1,0,0
1,51.0,0,18,0,5374,0,0,1,0,8,1,0,0
0,100.0,2,33,1,5011,1,0,1,0,6,1,0,0
0,86.0,2,33,1,7367,1,0,1,0,7,1,0,0
1,89.0,3,22,1,2920,1,0,1,0,22,0,0,1
1,55.0,4,26,0,297,1,0,1,0,6,1,0,0
0,77.0,1,16,0,1407,0,1,0,0,22,0,0,1
1,36.0,2,73,1,2187,1,0,0,1,8,1,0,0
0,54.0,4,71,1,2180,1,0,0,1,7,1,0,0
0,98.0,2,71,1,1720,1,0,0,1,8,1,0,0
0,28.0,0,16,0,3886,0,1,0,0,6,1,0,0
1,87.0,2,41,1,5297,1,0,1,0,21,0,0,1
1,20.0,3,25,0,7435,1,0,1,0,6,1,0,0
1,76.0,1,27,1,2388,1,0,1,0,14,0,1,0
0,10.0,3,11,0,1464,0,1,0,0,15,0,1,0
0,8.0,1,50,1,3204,1,0,1,0,14,0,1,0
1,71.0,5,39,1,4098,1,0,1,0,15,0,1,0
1,86.0,3,12,0,4393,1,1,0,0,22,0,0,1
1,67.0,2,39,1,2368,0,0,1,0,23,0,0,1
0,100.0,2,59,1,1586,0,0,0,1,22,0,0,1
0,85.0,3,35,1,4982,1,0,1,0,14,0,1,0
0,13.0,4,27,0,3170,1,0,1,0,22,0,0,1
1,21.0,0,73,0,2325,1,0,0,1,7,1,0,0
1,71.0,2,63,0,9619,1,0,0,1,6,1,0,0
1,89.0,4,75,0,6167,0,0,0,1,15,0,1,0
0,59.0,3,18,0,2481,0,0,1,0,6,1,0,0
1,67.0,0,79,1,895,0,0,0,1,8,1,0,0
0,83.0,2,38,0,4743,0,0,1,0,15,0,1,0
1,86.0,1,78,1,5003,0,0,0,1,15,0,1,0
0,92.0,3,22,1,6686,1,0,1,0,6,1,0,0
1,18.0,1,34,0,8125,0,0,1,0,14,0,1,0
1,45.0,3,16,0,2414,0,1,0,0,15,0,1,0
1,100.0,5,53,0,6820,1,0,0,1,23,0,0,1
0,28.0,0,17,0,125,1,1,0,0,15,0,1,0
0,65.0,4,28,0,3076,1,0,1,0,21,0,0,1
1,81.0,3,71,1,1991,1,0,0,1,6,1,0,0
1,11.0,0,16,0,6165,1,1,0,0,22,0,0,1
0,72.0,2,21,1,6479,1,0,1,0,15,0,1,0
0,40.0,3,63,0,4740,1,0,0,1,8,1,0,0
1,58.0,2,52,0,874,0,0,0,1,15,0,1,0
0,100.0,5,48,1,1402,1,0,1,0,23,0,0,1
0,47.0,2,32,1,8381,0,0,1,0,14,0,1,0
0,8.0,2,21,0,2033,1,0,1,0,15,0,1,0
0,71.0,3,17,0,5323,1,1,0,0,8,1,0,0
0,28.0,3,79,1,67,1,0,0,1,15,0,1,0
1,62.0,3,19,0,256,1,0,1,0,21,0,0,1
1,98.0,4,45,0,6312,0,0,1,0,7,1,0,0
1,48.0,4,11,0,783,1,1,0,0,15,0,1,0
1,98.0,3,35,0,5143,1,0,1,0,15,0,1,0
0,16.0,3,51,1,8305,1,0,0,1,15,0,1,0
0,47.0,0,66,0,7675,1,0,0,1,21,0,0,1
0,76.0,2,10,0,6595,1,1,0,0,6,1,0,0
0,29.0,4,50,0,3435,1,0,1,0,22,0,0,1
1,100.0,2,52,1,463,0,0,0,1,23,0,0,1
0,18.0,0,63,1,8613,0,0,0,1,22,0,0,1
1,11.0,4,45,1,3705,1,0,1,0,22,0,0,1
1,100.0,2,65,0,4483,1,0,0,1,15,0,1,0
1,2.0,5,80,0,7324,0,0,0,1,23,0,0,1
0,100.0,1,65,1,3433,0,0,0,1,23,0,0,1
0,54.0,2,22,1,5489,0,0,1,0,23,0,0,1
0,21.0,1,34,1,3806,1,0,1,0,15,0,1,0
1,100.0,4,56,0,9055,0,0,0,1,22,0,0,1
0,70.0,2,69,1,9182,0,0,0,1,23,0,0,1
0,58.0,5,15,0,3296,1,1,0,0,8,1,0,0
1,36.0,4,75,1,6627,0,0,0,1,21,0,0,1
1,77.0,4,17,0,568,1,1,0,0,15,0,1,0
0,80.0,5,15,0,1391,1,1,0,0,22,0,0,1
1,7.0,2,69,0,4491,1,0,0,1,15,0,1,0
0,47.0,5,25,1,7683,1,0,1,0,21,0,0,1
1,56.0,4,38,0,5830,1,0,1,0,23,0,0,1
1,25.0,1,62,0,6111,1,0,0,1,15,0,1,0
1,1.0,4,18,0,1571,0,0,1,0,14,0,1,0
0,100.0,4,24,1,8567,1,0,1,0,14,0,1,0
1,9.0,4,56,1,1536,1,0,0,1,21,0,0,1
0,75.0,4,48,0,1245,1,0,1,0,21,0,0,1
1,50.0,2,62,0,6775,1,0,0,1,6,1,0,0
0,18.0,0,13,0,4404,0,1,0,0,23,0,0,1
0,85.0,4,15,0,8165,0,1,0,0,8,1,0,0
1,2.0,2,33,0,5990,0,0,1,0,6,1,0,0
1,0.0,3,44,0,1436,1,0,1,0,22,0,0,1
1,57.0,2,40,0,8726,1,0,1,0,21,0,0,1
1,72.0,4,42,0,7968,0,0,1,0,21,0,0,1
0,24.0,2,64,0,8561,0,0,0,1,15,0,1,0
1,100.0,1,57,0,2965,0,0,0,1,22,0,0,1
1,21.0,3,15,0,7613,1,1,0,0,6,1,0,0
1,100.0,1,79,0,7729,0,0,0,1,14,0,1,0
1,30.0,2,77,1,1893,0,0,0,1,15,0,1,0
1,85.0,4,70,0,4619,0,0,0,1,6,1,0,0
0,1.0,5,68,1,6676,0,0,0,1,7,1,0,0
0,67.0,4,51,1,2184,1,0,0,1,14,0,1,0
1,73.0,4,51,1,103,1,0,0,1,21,0,0,1
1,40.0,5,53,0,4922,0,0,0,1,15,0,1,0
1,11.0,3,30,1,2511,0,0,1,0,7,1,0,0
0,61.0,3,75,0,3308,1,0,0,1,14,0,1,0
0,88.0,4,29,1,5206,1,0,1,0,14,0,1,0
0,28.0,1,38,1,9620,0,0,1,0,7,1,0,0
0,43.0,1,20,0,8583,1,0,1,0,14,0,1,0
0,37.0,5,35,0,4736,1,0,1,0,21,0,0,1
1,40.0,2,37,0,1731,0,0,1,0,7,1,0,0
0,100.0,5,54,1,3897,1,0,0,1,7,1,0,0
1,100.0,0,27,0,4152,0,0,1,0,7,1,0,0
0,78.0,3,31,0,3080,0,0,1,0,14,0,1,0
1,49.0,2,76,0,6881,1,0,0,1,21,0,0,1
0,72.0,0,77,0,7255,0,0,0,1,22,0,0,1
0,24.0,0,50,1,1763,0,0,1,0,15,0,1,0
0,25.0,5,77,1,219,0,0,0,1,15,0,1,0
1,21.0,0,25,0,4732,1,0,1,0,22,0,0,1
0,45.0,0,78,1,9729,1,0,0,1,7,1,0,0
1,44.0,1,56,0,8398,0,0,0,1,7,1,0,0
1,21.0,2,32,1,8859,1,0,1,0,14,0,1,0
1,3.0,0,66,1,8424,0,0,0,1,15,0,1,0
0,96.0,0,18,0,8556,1,0,1,0,22,0,0,1
0,83.0,3,35,0,2445,0,0,1,0,7,1,0,0
0,15.0,3,73,0,1474,1,0,0,1,23,0,0,1
0,33.0,1,35,0,8170,0,0,1,0,7,1,0,0
0,38.0,2,26,1,7095,0,0,1,0,8,1,0,0
0,56.0,4,78,0,4836,0,0,0,1,7,1,0,0
1,37.0,5,63,1,797,0,0,0,1,22,0,0,1
1,50.0,0,73,0,496,1,0,0,1,21,0,0,1
0,1.0,1,36,0,7671,1,0,1,0,8,1,0,0
0,50.0,3,61,0,749,1,0,0,1,6,1,0,0
1,1.0,0,31,0,241,0,0,1,0,23,0,0,1
0,20.0,4,59,0,6625,1,0,0,1,7,1,0,0
1,17.0,2,27,0,1664,1,0,1,0,22,0,0,1
0,9.0,0,52,1,9545,0,0,0,1,21,0,0,1
1,92.0,4,67,0,2599,0,0,0,1,8,1,0,0
0,0.0,2,17,0,2459,0,1,0,0,22,0,0,1
1,54.0,2,68,0,9214,1,0,0,1,22,0,0,1
0,68.0,5,27,0,7012,1,0,1,0,6,1,0,0
1,52.0,4,44,0,5782,1,0,1,0,15,0,1,0
1,16.0,4,80,1,311,0,0,0,1,6,1,0,0
0,99.0,0,77,0,7032,0,0,0,1,15,0,1,0
0,31.0,2,73,1,9697,1,0,0,1,15,0,1,0
1,14.0,4,22,0,6777,1,0,1,0,15,0,1,0
1,28.0,5,38,1,531,1,0,1,0,23,0,0,1
0,42.0,1,31,1,4278,0,0,1,0,6,1,0,0
1,11.0,2,63,1,906,1,0,0,1,21,0,0,1
0,25.0,2,43,1,1265,0,0,1,0,15,0,1,0
1,45.0,2,71,1,9098,1,0,0,1,22,0,0,1
1,62.0,5,47,1,8471,1,0,1,0,14,0,1,0
0,19.0,5,62,1,8758,0,0,0,1,21,0,0,1
0,4.0,2,79,0,9240,0,0,0,1,7,1,0,0
1,15.0,2,21,1,1673,1,0,1,0,15,0,1,0
1,20.0,2,80,0,2631,1,0,0,1,6,1,0,0
1,12.0,5,66,0,6358,0,0,0,1,14,0,1,0
1,69.0,4,15,0,5677,1,1,0,0,15,0,1,0
1,69.0,0,59,1,104,1,0,0,1,15,0,1,0
0,53.0,3,20,0,1009,1,0,1,0,22,0,0,1
0,74.0,2,77,1,951,1,0,0,1,15,0,1,0
1,86.0,1,30,0,3513,1,0,1,0,22,0,0,1
1,63.0,4,80,1,5708,0,0,0,1,15,0,1,0
0,26.0,3,72,1,1144,1,0,0,1,8,1,0,0
0,100.0,5,46,1,8796,1,0,1,0,15,0,1,0
0,15.0,0,59,1,1336,1,0,0,1,15,0,1,0
0,16.0,2,63,1,7328,1,0,0,1,15,0,1,0
0,61.0,4,42,0,5749,0,0,1,0,15,0,1,0
1,21.0,3,77,1,6092,1,0,0,1,22,0,0,1
1,32.0,0,75,0,1759,0,0,0,1,15,0,1,0
1,25.0,4,61,0,8608,0,0,0,1,21,0,0,1
1,15.0,2,66,0,6370,1,0,0,1,15,0,1,0
1,29.0,4,14,0,196,0,1,0,0,6,1,0,0
0,100.0,5,45,0,2972,1,0,1,0,6,1,0,0
1,62.0,2,55,0,3089,0,0,0,1,14,0,1,0
1,45.0,3,21,0,6983,1,0,1,0,14,0,1,0
1,61.0,5,80,0,8694,0,0,0,1,23,0,0,1
0,88.0,5,28,1,110,1,0,1,0,22,0,0,1
1,56.0,2,51,0,8652,0,0,0,1,14,0,1,0
1,18.0,2,49,0,781,0,0,1,0,14,0,1,0
0,60.0,2,62,1,7887,0,0,0,1,6,1,0,0
1,43.0,2,37,0,9685,1,0,1,0,15,0,1,0
0,21.0,1,11,0,9418,0,1,0,0,22,0,0,1
1,46.0,5,43,1,2790,1,0,1,0,8,1,0,0
1,40.0,3,14,0,4197,1,1,0,0,8,1,0,0
0,32.0,4,29,1,3305,1,0,1,0,23,0,0,1
1,24.0,5,24,1,2233,1,0,1,0,21,0,0,1
0,79.0,5,54,0,2581,0,0,0,1,15,0,1,0
1,93.0,5,15,0,8656,1,1,0,0,22,0,0,1
1,78.0,2,15,0,1936,1,1,0,0,14,0,1,0
0,34.0,0,14,0,9987,1,1,0,0,15,0,1,0
1,15.0,4,77,0,4954,0,0,0,1,15,0,1,0
0,63.0,1,11,0,189,1,1,0,0,22,0,0,1
1,60.0,4,24,1,6648,1,0,1,0,15,0,1,0
1,76.0,5,58,0,8142,1,0,0,1,7,1,0,0
1,51.0,5,16,0,315,1,1,0,0,6,1,0,0
1,47.0,0,54,1,1206,1,0,0,1,14,0,1,0
1,77.0,2,56,0,3225,0,0,0,1,15,0,1,0
1,14.0,5,74,0,831,0,0,0,1,21,0,0,1
0,86.0,5,28,0,7540,0,0,1,0,8,1,0,0
1,32.0,5,34,1,6610,1,0,1,0,15,0,1,0
1,41.0,1,55,0,7565,0,0,0,1,6,1,0,0
1,63.0,3,68,1,752,0,0,0,1,8,1,0,0
1,93.0,2,66,0,8146,1,0,0,1,7,1,0,0
0,100.0,4,60,1,9325,1,0,0,1,6,1,0,0
0,68.0,0,41,1,3942,0,0,1,0,14,0,1,0
1,9.0,4,15,0,3493,1,1,0,0,21,0,0,1
1,98.0,3,79,1,7321,0,0,0,1,6,1,0,0
1,84.0,5,15,0,8360,1,1,0,0,21,0,0,1
1,21.0,3,53,0,1238,1,0,0,1,15,0,1,0
0,40.0,4,72,1,7871,1,0,0,1,7,1,0,0
1,100.0,2,48,0,999,1,0,1,0,7,1,0,0
0,87.0,1,39,0,8946,1,0,1,0,15,0,1,0
0,46.0,1,21,0,8449,1,0,1,0,15,0,1,0
